station_id,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
2,3.0,3.0,6.0,2.0,0.0,0.0,-4.0,3.0,3.0,-4.0,-6.0,-1.0,1.0,2.0,1.0,3.0,-1.0,-1.0,3.0,-1.0,-1.0,1.0,3.0,1.0,1.0,4.0,1.0,-3.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.0,-4.0,-1.0,2.0,-6.0,-1.0,1.0,-1.0,0.0,2.0,1.0,-1.0,0.0,1.0,1.0,0.0,-3.0,-1.0,1.0,2.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,-2.0,0.0,-1.0
6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7,0.0,1.0,6.0,-4.0,2.0,-3.0,5.0,-3.0,0.0,0.0,-2.0,-1.0,2.0,-2.0,0.0,-5.0,4.0,-1.0,3.0,-2.0,-1.0,-4.0,0.0,-2.0,1.0,2.0,-3.0,-1.0,1.0,-1.0
9,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,-3.0,-2.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,3.0
12,0.0,1.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0
13,-6.0,3.0,1.0,-5.0,1.0,-6.0,1.0,9.0,-7.0,3.0,8.0,10.0,2.0,0.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,-1.0,2.0,0.0,-5.0,8.0,-2.0,0.0,5.0
14,0.0,0.0,-1.0,1.0,1.0,3.0,1.0,-1.0,0.0,2.0,0.0,-1.0,0.0,2.0,0.0,4.0,-2.0,-1.0,1.0,6.0,-1.0,0.0,-2.0,-1.0,0.0,-2.0,4.0,-3.0,1.0,-4.0
15,2.0,-1.0,3.0,-5.0,-2.0,2.0,2.0,4.0,2.0,-1.0,3.0,1.0,-1.0,-1.0,0.0,1.0,0.0,3.0,-2.0,6.0,3.0,-1.0,1.0,0.0,0.0,5.0,1.0,-1.0,-1.0,3.0
16,-1.0,-1.0,5.0,3.0,-3.0,0.0,-3.0,1.0,0.0,1.0,2.0,-1.0,-3.0,0.0,0.0,-3.0,-2.0,6.0,-4.0,-3.0,1.0,-2.0,1.0,-3.0,0.0,-4.0,-3.0,-2.0,0.0,0.0
17,1.0,-2.0,-6.0,2.0,11.0,0.0,-2.0,7.0,-1.0,0.0,-5.0,2.0,-4.0,-1.0,0.0,-3.0,2.0,5.0,-3.0,0.0,-2.0,2.0,0.0,-2.0,-1.0,-2.0,1.0,-6.0,1.0,-2.0
18,-1.0,-2.0,-2.0,0.0,0.0,4.0,-1.0,-2.0,2.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,0.0,-2.0,-5.0,1.0,0.0,1.0,-2.0,0.0,0.0,0.0,1.0,-3.0,-4.0,0.0,-1.0
19,1.0,1.0,-1.0,0.0,-1.0,-6.0,0.0,0.0,2.0,-1.0,-3.0,4.0,3.0,1.0,-1.0,0.0,1.0,-1.0,-2.0,1.0,2.0,3.0,2.0,0.0,1.0,-4.0,1.0,0.0,0.0,0.0
20,3.0,-4.0,0.0,1.0,-2.0,3.0,0.0,0.0,0.0,-6.0,5.0,-6.0,-5.0,2.0,0.0,-2.0,0.0,4.0,5.0,0.0,0.0,-2.0,2.0,0.0,0.0,-4.0,-2.0,2.0,0.0,-1.0
21,-3.0,-2.0,-1.0,2.0,3.0,-1.0,-1.0,-1.0,0.0,1.0,2.0,4.0,-5.0,2.0,1.0,4.0,1.0,0.0,-8.0,1.0,-3.0,1.0,3.0,-3.0,-2.0,6.0,-1.0,-2.0,-1.0,3.0
22,4.0,2.0,-7.0,6.0,2.0,-1.0,1.0,-3.0,-4.0,-1.0,-4.0,-2.0,-2.0,1.0,0.0,0.0,-2.0,4.0,2.0,-1.0,-5.0,1.0,-3.0,1.0,-1.0,4.0,-1.0,0.0,0.0,-6.0
23,2.0,0.0,-1.0,0.0,-2.0,3.0,0.0,0.0,1.0,-1.0,0.0,4.0,-1.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0,1.0,1.0,1.0,0.0
24,3.0,-1.0,0.0,6.0,5.0,1.0,-3.0,-1.0,-3.0,-1.0,1.0,-5.0,2.0,-2.0,-3.0,-3.0,1.0,8.0,-8.0,6.0,1.0,4.0,1.0,1.0,-1.0,-4.0,4.0,-2.0,0.0,-4.0
25,0.0,1.0,-5.0,3.0,-1.0,-2.0,8.0,0.0,1.0,0.0,5.0,0.0,0.0,-1.0,1.0,0.0,1.0,-3.0,3.0,4.0,0.0,1.0,-1.0,-3.0,0.0,1.0,-1.0,-4.0,1.0,0.0
26,-3.0,-3.0,-2.0,3.0,-6.0,-4.0,1.0,-2.0,-3.0,-2.0,-4.0,-2.0,5.0,-1.0,-5.0,5.0,-2.0,-5.0,5.0,-3.0,-1.0,3.0,-5.0,5.0,-1.0,2.0,4.0,-7.0,3.0,2.0
27,0.0,2.0,0.0,-3.0,-3.0,1.0,-5.0,-1.0,0.0,3.0,8.0,-1.0,1.0,1.0,0.0,-1.0,4.0,5.0,1.0,3.0,-4.0,1.0,-1.0,-1.0,1.0,2.0,0.0,4.0,0.0,0.0
28,-4.0,-2.0,-3.0,-1.0,-1.0,1.0,4.0,-2.0,0.0,0.0,0.0,-1.0,-2.0,3.0,-1.0,0.0,1.0,-1.0,4.0,3.0,-1.0,-1.0,0.0,1.0,0.0,3.0,3.0,1.0,-1.0,-2.0
29,3.0,0.0,-3.0,6.0,-2.0,3.0,1.0,-4.0,-1.0,0.0,-2.0,2.0,1.0,2.0,-1.0,1.0,0.0,-3.0,3.0,-2.0,0.0,4.0,-1.0,-1.0,4.0,-3.0,1.0,-3.0,0.0,3.0
30,-5.0,2.0,1.0,0.0,-4.0,-2.0,3.0,2.0,2.0,2.0,-2.0,0.0,-4.0,-1.0,0.0,0.0,-1.0,1.0,1.0,4.0,-2.0,-1.0,1.0,1.0,0.0,0.0,-1.0,3.0,0.0,-2.0
31,1.0,3.0,10.0,-1.0,-3.0,-1.0,3.0,0.0,1.0,0.0,-4.0,0.0,0.0,-3.0,-6.0,-3.0,0.0,0.0,-3.0,1.0,-2.0,-2.0,-5.0,-2.0,1.0,-4.0,0.0,-2.0,-2.0,1.0
32,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,2.0,-1.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0
